CustomerKey,GeographyKey,CustomerLabel,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,Phone,DateFirstPurchase,CustomerType
25,470,11024,Russell,Xie,1978-09-17,M,M,russell7@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,2.0,8734 Oxford Place,746-555-0186,2003-12-29,Person
26,637,11025,Alejandro,Beck,1945-12-23,M,M,alejandro45@adventure-works.com,10000.0,2.0,1.0,Bachillerato parcial,Clerical,1.0,2.0,2596 Franklin Canyon Road,1 (11) 500 555-0178,2001-07-09,Person
27,634,11026,Harold,Sai,1946-04-03,S,M,harold3@adventure-works.com,30000.0,2.0,0.0,Grado parcial,Clerical,0.0,2.0,8211 Leeds Ct.,1 (11) 500 555-0131,2001-07-26,Person
28,568,11027,Jessie,Zhao,1946-12-07,M,M,jessie16@adventure-works.com,30000.0,2.0,0.0,Grado parcial,Clerical,1.0,2.0,213 Valencia Place,1 (11) 500 555-0184,2001-07-19,Person
29,554,11028,Jill,Jimenez,1946-04-11,M,F,jill13@adventure-works.com,30000.0,2.0,0.0,Grado parcial,Clerical,1.0,2.0,9111 Rose Ann Ave,1 (11) 500 555-0116,2001-07-29,Person
30,425,11029,Jimmy,Moreno,1946-12-21,M,M,jimmy9@adventure-works.com,30000.0,2.0,0.0,Grado parcial,Clerical,1.0,2.0,6385 Mark Twain,1 (11) 500 555-0146,2001-07-22,Person
31,613,11030,Bethany,Yuan,1947-02-22,M,F,bethany10@adventure-works.com,10000.0,2.0,1.0,Bachillerato parcial,Clerical,1.0,2.0,636 Vine Hill Way,1 (11) 500 555-0182,2001-08-08,Person
32,509,11031,Theresa,Ramos,1947-08-22,M,F,theresa13@adventure-works.com,20000.0,4.0,0.0,Bachillerato,Manual calificado,1.0,2.0,6465 Detroit Ave.,1 (11) 500 555-0195,2001-08-04,Person
33,656,11032,Denise,Stone,1947-06-11,M,F,denise10@adventure-works.com,20000.0,4.0,0.0,Bachillerato,Manual calificado,1.0,2.0,626 Bentley Street,1 (11) 500 555-0169,2001-08-21,Person
34,512,11033,Jaime,Nath,1947-09-23,M,M,jaime41@adventure-works.com,20000.0,4.0,0.0,Bachillerato,Manual calificado,1.0,2.0,5927 Rainbow Dr,1 (11) 500 555-0137,2001-08-18,Person
35,669,11034,Ebony,Gonzalez,1947-06-19,M,F,ebony19@adventure-works.com,20000.0,4.0,0.0,Bachillerato,Manual calificado,1.0,2.0,5167 Condor Place,1 (11) 500 555-0136,2001-08-04,Person
36,471,11035,Wendy,Dominguez,1948-02-24,M,F,wendy12@adventure-works.com,10000.0,2.0,1.0,Bachillerato parcial,Clerical,1.0,2.0,1873 Mt. Whitney Dr,1 (11) 500 555-0177,2001-08-09,Person
37,516,11036,Jennifer,Russell,1978-12-18,M,F,jennifer93@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,2.0,3981 Augustine Drive,115-555-0183,2003-07-26,Person
38,467,11037,Chloe,Garcia,1977-11-27,S,F,chloe27@adventure-works.com,40000.0,0.0,0.0,Bachillerato parcial,Clerical,0.0,2.0,8915 Woodside Way,229-555-0112,2003-07-24,Person
39,648,11038,Diana,Hernandez,1948-03-23,M,F,diana2@adventure-works.com,10000.0,2.0,1.0,Bachillerato parcial,Clerical,1.0,2.0,8357 Sandy Cove Lane,1 (11) 500 555-0114,2001-08-10,Person
40,706,11039,Marc,Martin,1948-12-17,M,M,marc3@adventure-works.com,30000.0,3.0,0.0,Grado parcial,Clerical,1.0,2.0,9353 Creekside Dr.,1 (11) 500 555-0183,2001-08-10,Person
41,559,11040,Jesse,Murphy,1977-08-01,M,M,jesse15@adventure-works.com,30000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,2.0,3350 Kingswood Circle,961-555-0176,2003-10-05,Person
42,633,11041,Amanda,Carter,1977-10-16,M,F,amanda53@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,2.0,5826 Escobar,295-555-0145,2003-07-18,Person
43,653,11042,Megan,Sanchez,1977-06-13,M,F,megan28@adventure-works.com,70000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,2.0,1397 Paraiso Ct.,404-555-0199,2003-07-25,Person
44,633,11043,Nathan,Simmons,1976-02-24,M,M,nathan11@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Manual calificado,1.0,2.0,1170 Shaw Rd,296-555-0181,2003-11-09,Person
45,492,11044,Adam,Flores,1949-05-24,M,M,adam10@adventure-works.com,20000.0,2.0,1.0,Bachillerato parcial,Clerical,1.0,2.0,6935 Candle Dr,1 (11) 500 555-0163,2001-08-31,Person
46,509,11045,Leonard,Nara,1950-05-19,S,M,leonard18@adventure-works.com,30000.0,3.0,0.0,Bachillerato,Manual calificado,0.0,2.0,7466 La Vista Ave.,1 (11) 500 555-0151,2003-10-12,Person
47,648,11046,Christine,Yuan,1950-03-22,M,F,christine4@adventure-works.com,30000.0,3.0,0.0,Bachillerato,Manual calificado,1.0,2.0,2356 Orange St,1 (11) 500 555-0113,2001-08-09,Person
48,632,11047,Jaclyn,Lu,1950-02-27,M,F,jaclyn12@adventure-works.com,30000.0,3.0,0.0,Bachillerato,Manual calificado,0.0,2.0,2812 Mazatlan,1 (11) 500 555-0137,2001-08-06,Person
49,699,11048,Jeremy,Powell,1950-11-22,M,M,jeremy26@adventure-works.com,30000.0,3.0,0.0,Bachillerato,Manual calificado,1.0,2.0,1803 Potomac Dr.,1 (11) 500 555-0183,2001-08-13,Person
50,610,11049,Carol,Rai,1980-07-18,S,F,carol8@adventure-works.com,40000.0,0.0,0.0,Bachillerato parcial,Clerical,1.0,2.0,6064 Madrid,654-555-0180,2003-09-10,Person
51,493,11050,Alan,Zheng,1951-09-07,M,M,alan23@adventure-works.com,30000.0,3.0,0.0,Bachillerato,Manual calificado,1.0,2.0,2741 Gainborough Dr.,1 (11) 500 555-0135,2001-08-23,Person
52,599,11051,Daniel,Johnson,1951-08-04,S,M,daniel18@adventure-works.com,30000.0,3.0,0.0,Bachillerato,Manual calificado,0.0,2.0,8085 Sunnyvale Avenue,1 (11) 500 555-0155,2004-07-01,Person
53,509,11052,Heidi,Lopez,1951-08-07,S,F,heidi19@adventure-works.com,40000.0,2.0,0.0,Grado parcial,Clerical,0.0,2.0,2514 Via Cordona,1 (11) 500 555-0168,2001-08-20,Person
54,688,11053,Ana,Price,1980-08-20,M,F,ana0@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Manual calificado,0.0,2.0,1660 Stonyhill Circle,859-555-0113,2003-07-21,Person
55,632,11054,Deanna,Munoz,1952-03-10,M,F,deanna33@adventure-works.com,40000.0,2.0,0.0,Grado parcial,Manual calificado,1.0,2.0,5825 B Way,1 (11) 500 555-0192,2001-08-06,Person
56,478,11055,Gilbert,Raje,1952-03-05,M,M,gilbert35@adventure-works.com,40000.0,2.0,0.0,Grado parcial,Manual calificado,1.0,2.0,8811 The Trees Dr.,1 (11) 500 555-0129,2001-08-03,Person
57,518,11056,Michele,Nath,1953-04-03,M,F,michele19@adventure-works.com,40000.0,3.0,0.0,Grado parcial,Manual calificado,1.0,2.0,5464 Janin Pl.,1 (11) 500 555-0178,2001-08-29,Person
58,646,11057,Carl,Andersen,1953-10-12,M,M,carl12@adventure-works.com,70000.0,2.0,0.0,Máster,Administración,1.0,2.0,6930 Lake Nadine Place,1 (11) 500 555-0181,2001-08-25,Person
59,628,11058,Marc,Diaz,1954-04-27,M,M,marc6@adventure-works.com,80000.0,2.0,0.0,Grado parcial,Manual calificado,1.0,2.0,6645 Sinaloa,1 (11) 500 555-0149,2001-09-09,Person
60,561,11059,Ashlee,Andersen,1954-04-01,S,F,ashlee19@adventure-works.com,80000.0,2.0,0.0,Grado parcial,Manual calificado,1.0,2.0,8255 Highland Road,1 (11) 500 555-0112,2003-08-22,Person
61,568,11060,Jon,Zhou,1954-03-17,M,M,jon28@adventure-works.com,80000.0,2.0,0.0,Grado parcial,Manual calificado,1.0,2.0,6574 Hemlock Ave.,1 (11) 500 555-0174,2001-09-19,Person
62,487,11061,Todd,Gao,1954-02-27,M,M,todd14@adventure-works.com,80000.0,2.0,0.0,Grado parcial,Manual calificado,1.0,2.0,8808 Geneva Ave,1 (11) 500 555-0191,2001-09-13,Person
63,536,11062,Noah,Powell,1975-09-02,M,M,noah5@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,1.0,2.0,9794 Marion Ct,767-555-0113,2003-07-11,Person
64,677,11063,Angela,Murphy,1975-04-07,S,F,angela41@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,1.0,2.0,4927 Virgil Street,451-555-0162,2003-07-16,Person
65,475,11064,Chase,Reed,1975-12-07,M,M,chase21@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,1.0,2.0,2721 Alexander Pl.,892-555-0184,2003-07-29,Person
66,643,11065,Jessica,Henderson,1973-10-09,M,F,jessica29@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Manual calificado,0.0,2.0,9343 Ironwood Way,278-555-0186,2003-08-14,Person
67,500,11066,Grace,Butler,1973-11-27,M,F,grace62@adventure-works.com,70000.0,0.0,0.0,Grado parcial,Profesional,1.0,2.0,4739 Garden Ave.,712-555-0141,2003-12-02,Person
68,535,11067,Caleb,Carter,1976-09-25,S,M,caleb40@adventure-works.com,60000.0,0.0,0.0,Grado parcial,Profesional,1.0,2.0,9563 Pennsylvania Blvd.,944-555-0167,2004-02-19,Person
69,568,11068,Tiffany,Liang,1955-09-23,S,F,tiffany17@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Manual calificado,1.0,2.0,3608 Sinclair Avenue,1 (11) 500 555-0177,2003-11-01,Person
70,487,11069,Carolyn,Navarro,1955-09-21,S,F,carolyn30@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Manual calificado,0.0,2.0,4606 Springwood Court,1 (11) 500 555-0145,2001-10-18,Person
71,699,11070,Willie,Raji,1955-04-05,M,M,willie40@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Manual calificado,1.0,2.0,6260 Vernal Drive,1 (11) 500 555-0151,2001-10-29,Person
72,637,11071,Linda,Serrano,1955-06-26,S,F,linda31@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Manual calificado,1.0,2.0,9808 Shaw Rd.,1 (11) 500 555-0130,2003-09-02,Person
73,554,11072,Casey,Luo,1955-02-06,S,F,casey6@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Manual calificado,0.0,2.0,9513 Roslyn Drive,1 (11) 500 555-0125,2001-10-01,Person
74,553,11073,Amy,Ye,1956-08-14,S,F,amy16@adventure-works.com,70000.0,2.0,0.0,Bachillerato,Manual calificado,1.0,2.0,2262 Kirkwood Ct.,1 (11) 500 555-0185,2003-09-24,Person
75,613,11074,Levi,Arun,1956-08-28,S,M,levi6@adventure-works.com,70000.0,2.0,0.0,Bachillerato,Manual calificado,1.0,2.0,4661 Bluetail,1 (11) 500 555-0127,2003-09-24,Person
76,425,11075,Felicia,Jimenez,1957-11-16,S,F,felicia4@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Profesional,1.0,2.0,786 Eastgate Ave,1 (11) 500 555-0165,2001-10-29,Person
77,706,11076,Blake,Anderson,1957-07-13,S,M,blake9@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Profesional,1.0,2.0,5436 Clear,1 (11) 500 555-0113,2001-10-22,Person
78,510,11077,Leah,Ye,1957-09-19,S,F,leah7@adventure-works.com,80000.0,2.0,0.0,Bachillerato,Profesional,0.0,2.0,1291 Arguello Blvd.,1 (11) 500 555-0154,2001-10-16,Person
79,467,11078,Gina,Martin,1974-01-10,S,F,gina1@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Profesional,0.0,2.0,1349 Sol St.,196-555-0114,2003-08-19,Person
80,632,11079,Donald,Gonzalez,1959-03-11,S,M,donald20@adventure-works.com,160000.0,0.0,0.0,Máster,Administración,1.0,2.0,4236 Malibu Place,1 (11) 500 555-0137,2003-09-16,Person
81,531,11080,Damien,Chander,1959-07-17,M,M,damien32@adventure-works.com,170000.0,0.0,0.0,Máster,Administración,1.0,2.0,9941 Stonehedge Dr.,1 (11) 500 555-0111,2001-10-11,Person
82,470,11081,Savannah,Baker,1966-07-24,M,F,savannah39@adventure-works.com,120000.0,2.0,2.0,Grado,Administración,1.0,3.0,1210 Trafalgar Circle,478-555-0117,2003-08-16,Person
83,631,11082,Angela,Butler,1966-08-04,S,F,angela17@adventure-works.com,130000.0,0.0,1.0,Máster,Administración,0.0,3.0,6040 Listing Ct,579-555-0195,2003-07-26,Person
84,505,11083,Alyssa,Cox,1966-03-15,M,F,alyssa37@adventure-works.com,130000.0,0.0,1.0,Máster,Administración,1.0,3.0,867 La Orinda Place,561-555-0140,2003-07-10,Person
85,500,11084,Lucas,Phillips,1957-09-12,S,M,lucas7@adventure-works.com,80000.0,2.0,0.0,Bachillerato parcial,Manual calificado,0.0,2.0,8668 St. Celestine Court,863-555-0172,2003-07-08,Person
86,667,11085,Emily,Johnson,1957-07-19,S,F,emily1@adventure-works.com,60000.0,2.0,0.0,Bachillerato,Profesional,0.0,2.0,7926 Stephanie Way,850-555-0184,2004-06-08,Person
87,547,11086,Ryan,Brown,1957-12-23,M,M,ryan43@adventure-works.com,70000.0,2.0,1.0,Grado parcial,Profesional,1.0,0.0,2939 Wesley Ct.,539-555-0198,2004-01-03,Person
88,610,11087,Tamara,Liang,1957-10-03,M,F,tamara6@adventure-works.com,70000.0,3.0,2.0,Grado parcial,Profesional,0.0,0.0,3791 Rossmor Parkway,178-555-0152,2003-08-29,Person
89,688,11088,Hunter,Davis,1957-11-25,M,M,hunter64@adventure-works.com,80000.0,2.0,1.0,Grado,Administración,1.0,0.0,4308 Sand Pointe Lane,612-555-0141,2003-07-17,Person
90,652,11089,Abigail,Price,1957-02-05,S,F,abigail25@adventure-works.com,80000.0,2.0,1.0,Grado,Administración,1.0,1.0,2685 Blackburn Ct,532-555-0117,2003-07-02,Person
91,653,11090,Trevor,Bryant,1957-12-17,S,M,trevor18@adventure-works.com,90000.0,2.0,0.0,Grado parcial,Profesional,1.0,1.0,5781 Sharon Dr.,853-555-0174,2002-02-07,Person
92,490,11091,Dalton,Perez,1957-04-04,M,M,dalton37@adventure-works.com,90000.0,2.0,0.0,Grado parcial,Profesional,1.0,1.0,6083 San Jose,559-555-0115,2003-08-02,Person
93,478,11092,Cheryl,Diaz,1967-05-06,M,F,cheryl4@adventure-works.com,90000.0,2.0,2.0,Grado,Profesional,1.0,0.0,7297 Kaywood Drive,1 (11) 500 555-0192,2001-10-09,Person
94,706,11093,Aimee,He,1967-09-10,M,F,aimee13@adventure-works.com,100000.0,0.0,0.0,Máster,Administración,1.0,0.0,1833 Olympic Drive,1 (11) 500 555-0161,2001-10-08,Person
95,471,11094,Cedric,Ma,1962-04-01,S,M,cedric15@adventure-works.com,70000.0,1.0,0.0,Grado parcial,Manual calificado,0.0,1.0,3407 Oak Brook Place,1 (11) 500 555-0115,2003-10-09,Person
96,534,11095,Chad,Kumar,1962-09-01,S,M,chad9@adventure-works.com,70000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,1681 Lighthouse Way,1 (11) 500 555-0151,2001-10-02,Person
97,669,11096,Andrés,Anand,1962-08-10,M,M,andrés18@adventure-works.com,60000.0,1.0,0.0,Grado,Profesional,1.0,1.0,5423 Los Gatos Ct.,1 (11) 500 555-0184,2001-10-12,Person
98,568,11097,Edwin,Nara,1961-10-27,M,M,edwin39@adventure-works.com,60000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,719 William Way,1 (11) 500 555-0112,2001-10-05,Person
99,679,11098,Mallory,Rubio,1961-05-01,S,F,mallory7@adventure-works.com,60000.0,1.0,0.0,Grado parcial,Manual calificado,0.0,1.0,6452 Harris Circle,1 (11) 500 555-0157,2003-08-15,Person
100,534,11099,Adam,Ross,1961-03-08,M,M,adam2@adventure-works.com,60000.0,1.0,0.0,Grado,Profesional,1.0,1.0,4378 Westminster Place,1 (11) 500 555-0186,2001-10-08,Person
101,613,11100,Latasha,Navarro,1960-09-15,S,F,latasha10@adventure-works.com,60000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,6954 Ranch Road,1 (11) 500 555-0123,2001-10-17,Person
102,471,11101,Abby,Sai,1965-05-08,S,F,abby4@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,7074 N. Spoonwood Court,1 (11) 500 555-0174,2001-10-30,Person
103,558,11102,Julia,Nelson,1965-04-21,S,F,julia7@adventure-works.com,80000.0,5.0,5.0,Grado,Profesional,1.0,4.0,2196 Coat Ct.,1 (11) 500 555-0124,2004-01-17,Person
104,473,11103,Cassie,Chande,1964-10-17,S,F,cassie13@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,1.0,1.0,9448 San Marino Ct.,1 (11) 500 555-0166,2001-10-16,Person
105,487,11104,Edgar,Sara,1964-03-11,M,M,edgar11@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,6127 Lilly Lane,1 (11) 500 555-0125,2001-11-04,Person
106,509,11105,Candace,Fernandez,1964-12-28,S,F,candace15@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,5029 Blue Ridge,1 (11) 500 555-0162,2001-11-14,Person
107,568,11106,Jessie,Liu,1964-09-11,S,M,jessie9@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,1.0,3063 Blue Jay Drive,1 (11) 500 555-0163,2001-11-18,Person
108,554,11107,Bianca,Lin,1959-09-09,M,F,bianca7@adventure-works.com,90000.0,1.0,0.0,Grado,Profesional,1.0,1.0,7530 Eola,1 (11) 500 555-0121,2001-11-01,Person
109,534,11108,Kari,Alvarez,1963-07-14,S,F,kari25@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,2.0,9178 Thornhill Place,1 (11) 500 555-0169,2001-11-03,Person
110,697,11109,Ruben,Kapoor,1963-11-05,S,M,ruben1@adventure-works.com,70000.0,0.0,0.0,Grado,Profesional,0.0,2.0,1984 Glendale Circle,1 (11) 500 555-0132,2001-11-10,Person
111,473,11110,Curtis,Yang,1962-06-06,M,M,curtis5@adventure-works.com,60000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,4052 Mt. Wilson Way,1 (11) 500 555-0127,2001-11-01,Person
112,632,11111,Meredith,Gutierrez,1962-02-23,M,F,meredith34@adventure-works.com,60000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,7610 Northridge Ct.,1 (11) 500 555-0179,2001-11-20,Person
113,492,11112,Crystal,Wang,1962-09-09,M,F,crystal3@adventure-works.com,60000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,2773 Kirkwood Dr,1 (11) 500 555-0134,2001-11-25,Person
114,531,11113,Micheal,Blanco,1962-02-21,M,M,micheal11@adventure-works.com,70000.0,5.0,4.0,Grado,Profesional,1.0,2.0,596 Marfargoa Drive,1 (11) 500 555-0131,2003-08-05,Person
115,679,11114,Leslie,Moreno,1962-05-28,S,F,leslie7@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,2.0,7941 Cristobal,1 (11) 500 555-0115,2003-09-19,Person
116,554,11115,Alvin,Cai,1962-02-12,M,M,alvin20@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,2.0,7759 Azalea Avenue,1 (11) 500 555-0191,2003-08-14,Person
117,558,11116,Clinton,Carlson,1962-10-07,M,M,clinton14@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,2.0,7943 Cunha Ct.,1 (11) 500 555-0184,2003-09-16,Person
118,509,11117,April,Deng,1961-02-21,M,F,april1@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,3.0,485 Ash Lane,1 (11) 500 555-0182,2001-11-06,Person
119,648,11118,Alvin,Zeng,1957-07-03,S,M,alvin21@adventure-works.com,80000.0,1.0,0.0,Grado parcial,Manual calificado,0.0,1.0,3853 Wildcat Circle,1 (11) 500 555-0174,2004-01-11,Person
120,534,11119,Evan,James,1935-04-10,S,M,evan8@adventure-works.com,30000.0,2.0,0.0,Grado parcial,Clerical,0.0,2.0,4157 Sierra Ridge,1 (11) 500 555-0187,2003-08-07,Person
121,558,11120,Beth,Jiménez,1936-08-09,S,F,beth8@adventure-works.com,40000.0,2.0,0.0,Grado,Administración,1.0,1.0,7401 Las Palmas,1 (11) 500 555-0164,2001-11-14,Person
122,518,11121,Orlando,Suarez,1960-11-18,M,M,orlando19@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,3.0,7743 Hames Dr,1 (11) 500 555-0198,2003-12-26,Person
123,669,11122,Byron,Vazquez,1960-04-02,M,M,byron9@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,3.0,3187 Hackamore Lane,1 (11) 500 555-0136,2003-08-25,Person
124,699,11123,Philip,Alvarez,1960-06-20,M,M,philip4@adventure-works.com,70000.0,5.0,4.0,Grado parcial,Manual calificado,1.0,3.0,2775 Mt. Olivet Pl.,1 (11) 500 555-0191,2003-10-19,Person
125,568,11124,Ross,Jordan,1957-07-27,S,M,ross1@adventure-works.com,80000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,6973 Dublin Court,1 (11) 500 555-0126,2001-11-05,Person
126,692,11125,Dana,Navarro,1956-04-08,S,F,dana2@adventure-works.com,70000.0,1.0,0.0,Grado parcial,Manual calificado,1.0,1.0,8481 Zartop Street,1 (11) 500 555-0172,2003-08-04,Person
127,519,11126,Shaun,Carson,1949-04-07,M,M,shaun16@adventure-works.com,10000.0,2.0,1.0,Bachillerato,Manual calificado,0.0,2.0,57 Wolf Way,1 (11) 500 555-0155,2001-11-28,Person
128,690,11127,Jan,Edwards,1975-10-21,M,F,jan11@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,1.0,1.0,9409 The Alameda,111-555-0118,2003-10-12,Person
129,678,11128,Samantha,Long,1975-12-05,M,F,samantha35@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,1.0,1.0,1606 Alderwood Lane,175-555-0139,2003-12-21,Person
130,694,11129,Julia,Wright,1975-08-05,S,F,julia17@adventure-works.com,40000.0,0.0,0.0,Bachillerato,Manual calificado,1.0,1.0,7397 Central Blvd.,456-555-0174,2002-02-06,Person
